name,path,size,file_or_dir
cd77a5eaefd72d120fe37f98887695757fd3c1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\59,315,file
34c1bbcf4111cb62b411a55712777313a3340f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\5b,51,file
3de2a8790b7f6b5ba462353e9a9619ce77f056,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\5d,73,file
a55dd55426803aaa4dafe5558871fbb530a24b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\60,79,file
fc4d9cfb05f574ac721266571a42ce6b71cb7e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\63,389,file
240f8faaf4618dcb793c1af73819554d4fbf21,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\6a,480,file
d9e2f4690a88f0ee344269458566a187e8ed5c,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\6a,73,file
318c4b1881da8c9ceed73101523586dabe46af,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\72,704,file
8606770ad5c7238ffb99c9e01d2177e043d9dc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\73,162,file
9723bcc357582212267d8067db42a3b54877fa,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\73,409,file
baa4252a78499f32a0601dbb6a19bbb5dab2e6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\73,234,file
a69508425e9d57d3c83f58b15e11857a22b5da,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\78,271,file
ebeba1e6500b92c43624eb20fb6071f73eb24a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\79,529,file
8ed5d43566b1f3427299dca48bcb077863a507,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\7f,515,file
c0addd09bbd8e26cd78dfac4048a092a495006,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\7f,136,file
60f7a356999cf595332ecc2940c690eaadaeee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\83,378,file
fa87bd6f452df68ed1ee88487950314854fb84,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\83,156,file
104ee08a50efa32c9ea80f5c2eeab0244f3dee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\85,229,file
53a0338dd1c2e40c5d4b245051b9d0ac6adada,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\88,79,file
664972cbe2cf93167a742e1dd7bd9e1197543b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\8b,135,file
ad0bbd743c64cdcbf95f5be10b699d80c62188,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\8e,230,file
8b2fd624d7526e19e72947381f78b77ae46393,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\8f,165,file
d0bff354004d8f392bf897208e25064e8dd499,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\90,172,file
4d015f5757406fee742565a58094c7ea485d78,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\92,82,file
b4408cf5e02ec559ec4055082fedda1564e4a5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\94,443,file
7d62d458c46554b1125535cb983f4a8fee2a31,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\95,920,file
03c82910f4fd20a8bcc3b92bbb983b5367a508,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\96,236,file
824ec9b0149e48c91dce4fee530335b327c686,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\97,66,file
fb90d12620db2dccbdadde1beddc39abffef52,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\98,395,file
04ff103e49c9634cfd02bac12071cfe1d8feee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\99,158,file
1d77e414467a254e43fd2625b2564ff64427ae,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\9c,482,file
61f0f7f248fa3f33a14aa748c605e7eacde405,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\9d,155,file
e2b3dcddfc5fc0bb7957afc932e7150db33cde,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\a3,456,file
594351df6cb4462cfd395281af196c07baa7f5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\a4,156,file
fb7a70eb00648cee9efdaa479fefd87013359a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\a4,252,file
71a2c93136ccb7f8094a2783d905d33dff9163,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\a9,147,file
db301c6bd9e57432053b5e99d915a2e43a05df,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ab,515,file
0197031e554c5395b3bdc3ea0cc17dd9652f98,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ac,301,file
669c91adab75dd2482e9f467ab29923a936edb,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ae,461,file
786f55a3e97e7960702cf7118f6a48925f8883,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\b1,155,file
9f08611edd087332f998c98dea033b5302a882,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\b2,284,file
53f99ae836053bfebd16c04638c17edae2e452,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\b5,498,file
bdd72edde853275bc52746f39d701cbddafb01,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\b9,781,file
a1d4737822498dc938bca1153d1e20758343b2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c0,417,file
e0bee588908e4340ecdc2c899ad16986cd3cb9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c0,385,file
2655c2c89fb7865653ea50e2ac104082154b5e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c1,78,file
ad3d87034cc4e5bd357cdb9895fbbc8bf1b7cc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c3,156,file
3d5f80ac0a2ae1b40e7c1f10e95adf8536265b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c6,151,file
39b2c9ca3fa3af6f3e2d9a81ee27c95a23391d,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c7,387,file
e7a289e9e0db44e1023e473ea57ff854b39a8f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\c8,158,file
3c9386d973016ebc770b0f2d418b7e2b170131,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ca,214,file
17d44ce0840226b216f1d260080fa741087949,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\cb,181,file
ca95231f6aabf2ca1005bd66a6f0fc1706ee60,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\cb,820,file
ccec3c65b50983c24681cca56c0a85d7eb85d6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\cb,308,file
4e4ef4643215370a2b003f7c5c3605cf80d6fa,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\cc,153,file
887d0cc85b928c3ec3e0146d312f2f6cc81fe0,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\cc,204,file
b5fc39ad3aafe36ba56bce4f64af69f475861b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\cf,599,file
876a78d06ac03b5d78c8dcdb95570281c6f1d6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\d0,210,file
0ee48ecf64e01f1ce374f89355198537abad8f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\d1,161,file
85a310464dedf885ea5c0d0b5686783ce5f569,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\d8,134,file
e832aadfb1e2b447e177fe96a11c34614fa3a0,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\d8,237,file
ed013d9b14d7c459d6007e9bc85609695ce7c1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\d9,179,file
238587e51afd6f1867096e65072fff23aa532c,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\da,166,file
da8a433c20fe7f477ee819259e1836a862c7b3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\de,308,file
b4fd745565ffc3d39240f8914b8e4c75b88b18,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\df,333,file
f1f645a31b250a3bf45da6d7abc3cd917621c3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e0,115,file
ac9e6229dce20006b7fdc7a5d62087d0a2d3d5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e1,275,file
26d7a5534fa07b84b97e2fea3da3d48ab94e5e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e3,650,file
5aed5ebf38275c4b6b0b07bd98346a7b33a296,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e6,153,file
9de29bb2d1d6434b8b29ae775ad8c2e48c5391,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e6,15,file
498438e31b8cacdf4edf6f00acc11a83c524eb,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e9,421,file
6dcb5d32698c80ebab8f147dace41a4a7ded1f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e9,338,file
a8262e124647e0dfb484e219e8f996b00c00e9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\e9,107,file
2b7e018f78f683d918397f98774c288dec5cfa,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ed,141,file
8fb91eea88fcdfae4bb9ba0d44676e86cc1fde,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ee,154,file
1c92f127af0f9d1024351cc6f6e26ffcfa50a2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ef,211,file
3b8ee928dfea85457638f1cc89351abd0c53da,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ef,258,file
b14a7228741c477afb4d16fdc20026ce050821,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\ef,165,file
be12d415d6c411f15aec2cf2f61698357511c9,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\f2,107,file
565c25564e812d15fd78cf38e56e36bea0bb69,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\f4,640,file
bd003ab1b691293dfb818d615719a5058fd221,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\f9,191,file
ee010cfb70c46c2df399f2116b3c9ffc5bafb1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\fc,457,file
pack-3e550c5ee52a96b2d73644642f944bb962f9f3b3.idx,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\pack,1156,file
pack-3e550c5ee52a96b2d73644642f944bb962f9f3b3.pack,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\pack,1567,file
heads,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs,41,directory
remotes,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs,71,directory
tags,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs,0,directory
main,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs\heads,41,file
origin,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs\remotes,71,directory
HEAD,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs\remotes\origin,30,file
main,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\refs\remotes\origin,41,file
inspectionProfiles,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,174,directory
.gitignore,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,50,file
misc.xml,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,189,file
modules.xml,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,283,file
Python-Basic.iml,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,291,file
vcs.xml,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,172,file
workspace.xml,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea,12870,file
profiles_settings.xml,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.idea\inspectionProfiles,174,file
task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar1,1247,file
task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar1,837,file
task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar2,533,file
task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar2,723,file
HW_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar3,1020,file
HW_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar3,498,file
HW_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar3,1475,file
HW_task4.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar3,661,file
HW_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar4,812,file
HW_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar4,357,file
HW_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar4,702,file
HW_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar5,611,file
HW_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar5,795,file
HW_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar5,313,file
HW_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar6,1463,file
HW_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Home_work_seminar6,1284,file
seminar_7,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,12653,directory
data2.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,75,file
data3.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,54,file
dlgPY0003.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,0,file
hw_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,2474,file
hw_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,1749,file
mdlPY0002.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,0,file
nkPY0001.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,0,file
open_file.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,101,file
test.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7,215,file
__pycache__,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,8098,directory
data.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,118,file
name.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,66,file
open_file.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,144,file
s7_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,947,file
s7_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,1033,file
s7_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,2015,file
__init__.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7,232,file
s7_task1.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7\__pycache__,1736,file
s7_task2.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7\__pycache__,1945,file
s7_task3.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7\__pycache__,3886,file
__init__.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar7\seminar_7\__pycache__,531,file
filework,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,15086,directory
direct_info.csv,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,0,file
direct_info.json,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,0,file
direct_info.pickle,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,0,file
file_json.json,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,176,file
hw_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,2716,file
ident.json,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,153,file
open_file.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,144,file
test_filework.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8,282,file
__pycache__,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework,9675,directory
convert.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework,991,file
get_dir_information.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework,2753,file
ident.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework,1612,file
__init__.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework,55,file
convert.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework\__pycache__,1960,file
get_dir_information.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework\__pycache__,4949,file
ident.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework\__pycache__,2480,file
__init__.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\home_work_seminar8\filework\__pycache__,286,file
S3_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_3,536,file
S3_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_3,834,file
S3_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_3,587,file
S3_task4.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_3,396,file
S3_task5.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_3,490,file
S3_task6.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_3,749,file
S4_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_4,839,file
S4_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_4,540,file
S4_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_4,704,file
S4_task4.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_4,653,file
S4_task5.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_4,903,file
S5_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,787,file
S5_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,532,file
S5_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,514,file
S5_task4.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,362,file
S5_task5.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,1019,file
S5_task6.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,621,file
S5_task7.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_5,642,file
__pycache__,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6,3969,directory
s6_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6,375,file
S6_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6,1294,file
S6_task3.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6,1320,file
S6_task4.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6,927,file
__init__.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6,36,file
S6_task3.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6\__pycache__,2048,file
S6_task4.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6\__pycache__,1511,file
__init__.cpython-311.pyc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\Seminar_6\__pycache__,410,file
file_json.json,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\seminar_8,176,file
ident.json,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\seminar_8,120,file
open_file.txt,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\seminar_8,144,file
s8_task1.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\seminar_8,968,file
s8_task2.py,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\seminar_8,1589,file
